Pull_Ke,Cumulative_Probability_Fixed,Cumulative_Probability_Weighted
1,0.627,0.626
2,1.228,1.208
3,1.853,1.812
4,2.433,2.438
5,3.032,3.057
6,3.599,3.641
7,4.156,4.199
8,4.709,4.778
9,5.237,5.341
10,5.785,5.923
11,6.348,6.482
12,6.936,7.069
13,7.451,7.619
14,7.965,8.181
15,8.504,8.778
16,9.059,9.372
17,9.649,9.937
18,10.233,10.449
19,10.744,10.953
20,11.294,11.51
21,11.766,12.06
22,12.288,12.594
23,12.876,13.108
24,13.364,13.607
25,13.871,14.166
26,14.364,14.698
27,14.905,15.177
28,15.404,15.68
29,15.885,16.18
30,16.387,16.688
31,16.892,17.192
32,17.393,17.661
33,17.873,18.151
34,18.37,18.697
35,18.876,19.165
36,19.363,19.656
37,19.815,20.12
38,20.282,20.593
39,20.771,21.095
40,21.214,21.589
41,21.68,22.093
42,22.16,22.587
43,22.633,23.055
44,23.106,23.536
45,23.552,24.007
46,24.017,24.458
47,24.483,24.888
48,24.964,25.323
49,25.383,25.755
50,25.864,30.006
51,26.293,37.35
52,26.756,47.078
53,27.21,57.981
54,27.679,68.72
55,28.107,78.374
56,28.513,86.056
57,28.957,91.658
58,29.37,95.493
59,29.795,97.737
60,30.217,99.009
61,30.633,99.622
62,31.049,99.864
63,31.516,99.961
64,31.962,99.99
65,32.353,99.998
66,32.732,100.0
67,33.09,100.0
68,33.508,100.0
69,33.92,100.0
70,34.291,100.0
